Date,Open Price,Close Price,High Price,Low Price,Volume,Rise,Diff of Close Price
15-Apr-16,2083.1,2080.73,2083.22,2076.31,2196610048,-1,-2.05
18-Apr-16,2078.83,2094.34,2094.66,2073.65,2039065344,1,13.61
19-Apr-16,2096.05,2100.8,2104.05,2091.68,2364013824,1,6.46
20-Apr-16,2101.52,2102.4,2111.05,2096.32,2461069568,1,1.6
21-Apr-16,2102.09,2091.48,2103.78,2088.52,2579899904,-1,-10.92
22-Apr-16,2091.49,2091.58,2094.32,2081.2,2509348608,1,0.1
25-Apr-16,2089.37,2087.79,2089.37,2077.52,1990115584,-1,-3.79
26-Apr-16,2089.84,2091.7,2096.87,2085.8,2196584704,1,3.91
27-Apr-16,2092.33,2095.15,2099.89,2082.31,2594254336,1,3.45
28-Apr-16,2090.93,2075.81,2099.3,2071.62,2725010688,-1,-19.34
29-Apr-16,2071.82,2065.3,2073.85,2052.28,2909053952,-1,-10.51
2-May-16,2067.17,2081.43,2083.42,2066.11,2302890240,1,16.13
3-May-16,2077.18,2063.37,2077.18,2054.89,2528442368,-1,-18.06
4-May-16,2060.3,2051.12,2060.3,2045.55,2393814272,-1,-12.25
5-May-16,2052.95,2050.63,2060.23,2045.77,2292291840,-1,-0.49
6-May-16,2047.77,2057.14,2057.72,2039.45,2241950976,1,6.51
9-May-16,2057.55,2058.69,2064.15,2054.31,1985719936,1,1.55
10-May-16,2062.63,2084.39,2084.87,2062.63,2073889536,1,25.7
11-May-16,2083.29,2064.46,2083.29,2064.46,2234002688,-1,-19.93
12-May-16,2067.17,2064.11,2073.99,2053.13,2295019776,-1,-0.35
13-May-16,2062.5,2046.61,2066.79,2043.13,2179862272,-1,-17.5
16-May-16,2046.53,2066.66,2071.88,2046.53,2103125760,1,20.05
17-May-16,2065.04,2047.21,2065.69,2040.82,2478501632,-1,-19.45
18-May-16,2044.38,2047.63,2060.61,2034.49,2559281920,1,0.42
19-May-16,2044.21,2040.04,2044.21,2025.91,2290624256,-1,-7.59
20-May-16,2041.88,2040.04,2058.35,2041.88,2252829696,0,0
23-May-16,2052.23,2048.04,2055.58,2047.26,1870707840,1,8
24-May-16,2052.65,2076.06,2079.67,2052.65,2146124672,1,28.02
25-May-16,2078.93,2090.54,2094.73,2078.93,2224231424,1,14.48
26-May-16,2091.44,2090.1,2094.3,2087.08,1884462592,-1,-0.44
27-May-16,2090.06,2099.06,2099.06,2090.06,1738880768,1,8.96
31-May-16,2100.13,2096.96,2103.48,2088.66,2630256128,-1,-2.1
1-Jun-16,2093.94,2099.33,2100.97,2085.1,2065674112,1,2.37
2-Jun-16,2097.71,2105.26,2105.26,2088.59,2168855552,1,5.93
3-Jun-16,2104.07,2099.13,2104.07,2085.36,2133498240,-1,-6.13
6-Jun-16,2100.83,2109.41,2113.36,2100.83,1941135360,1,10.28
7-Jun-16,2110.18,2112.13,2119.22,2110.18,1997374208,1,2.72
